Brand,Processor_Speed,RAM_Size,Storage_Capacity,Screen_Size,Weight,Price,Price_Hashed,Price_Encrypted,RAM_Encrypted,RAM_Decrypted
Asus,3.830295706209031,16,512,11.185147425848434,2.6410944247109853,17395.093064560457,e33562234b73b4ecad16901885fd503f2c4c20996e22d914da21be26f8b6a6d9,gAAAAABn1x_lmsCLdEUJmxb7f1VirqahFTcXFFdRNmEFRvBX0PLZAU1toBDvfeuek2hgtejLjnRTej7aQJBmyliXbX_PAUL0TgU4t6k6FsIMN_cIdYCehwA=,gAAAAABn1x_l7kX5Rigw6OvEuSxZeZxoG5w7RyrN-FOWaoAeCJcyliFoq-15Ua2inQjehnVdsTSJKeVVgVLCPwPatjeVLpEPSw==,16
Acer,2.912832958973022,4,1000,11.311371797110466,3.2600122222442147,31607.60591926617,80fe437d4a9c57c4038198b7cf32f93b9f957bb705b8e10a7d481662d5c79829,gAAAAABn1x_li4oqpRblYGPuUvyuQQxxXcjWyfF-Keg3b4WnyIBC0T8Dw-Zz55lJbptX3jUyy3zBXKzAPBQDMEcjlSH1cieMYi1owvbFqBolcCWWc1SYyh0=,gAAAAABn1x_lGCxWgpA9M8-tuXXlS6VSVgQrICoufp6HG1K41LFIQoW2okFK8Kq_6Y0dcD7kBve9Hzrv8E1wEJkSueUZGwIN9w==,4
Lenovo,3.2416270596922305,4,256,11.853022680223374,2.029060648222903,9291.023542338657,6254a5a18d60d796eb464283ef38f9417e12885a07742e2e9b9d09e24b6f772b,gAAAAABn1x_lmvfDqJ2GN9RL3Yia5mZ8iFIImNeEeOm0eNJdSiEDyty-uCHrbUt6KRElpQ_u6HfL_1Zj4bC_ordg2ajm0qtIP68gdppnhnzx3UK26quMSpQ=,gAAAAABn1x_ltxYM7FdbdPDdNpY7rlIw4llASJ4u_bGG1YsvS8RnIQ7__MWbgZH8_L7IXJ123kGdsRttJRu3WzOlnxMH3BI_qw==,4
Acer,3.80624845294324,16,512,12.280360087854138,4.573865272745172,17436.72833420527,1f2910923c33a53b30bc7e6eb731307eb2e2366b3811b68769aaeafb80458375,gAAAAABn1x_l_dZbQ5fxJJUly0GQVDaMYIcKTsROiaCvjFwU-jMocVJ4z2EqjSGLnHFMIxaSTQJHiMX2ULZVIhgFWv9euEEt5OT5rqmC30D97Iu4IkjF5Hk=,gAAAAABn1x_lJb6r0KyNJcqQab04uZzj8Cy5zkAADGwro5yB8ZX59CQJ0v3OcoXjwIZizdSvDRgDtPxee3YH1zy76mkxgJxm4Q==,16
Acer,3.2680965857834963,32,1000,14.990877165430431,4.193472033364752,32917.990718167515,f90738a55c90c1e31a4fb6d35f92306ff03a87001a9408b5a82a9083bcc18417,gAAAAABn1x_lM3I86m18XlH8unkjpBkfFZbBwigl3YH0tSHBb2mYAljXH4X5UcBps2ep36NoeRZbrd_qG-css7OQ_MOXmOQKU7-8lh8Qt1MkuAK2wq8TgC4=,gAAAAABn1x_lVq46lHTdvi8HI31x0ZhLtqSOcO5CI8baD6ET03-WsEkPyC2vFzuGdpYupySLvtq5aS-lHm3Ek-s3e9Mn3-HbtQ==,32
HP,1.8813476072856532,16,256,11.94395768001097,4.84026810552111,9543.719980129945,152ff98902e83cca39225afe41781193058d58e2821954fd6dc48939e53a6335,gAAAAABn1x_lyPVP6Yy4o9QiNmVmXqwmc3fZaue-mygAK37lF0BQrUSZ0yCJDaDnhxpd9oQBrjNenuYKwCEu2WHEp_HQxiDsQ7pDmFd2wa1IO4LOhRPjdyg=,gAAAAABn1x_lqtq82mtm_C6AgwKpM6gJLUJn7FMt_Hz0UixrWlxzA8I51sPQoe_3fiNlaFMz0kcGvl3qaKh4mkepx43wC70RXw==,16
Lenovo,2.940720900417033,32,256,11.713246347062432,4.344846437589197,10390.13731921554,90d3e3d05c2cf26f052a507df2d7af7733f4784154877c484f593724ba56eb56,gAAAAABn1x_lR3m04xrdm_9KbG28ecxqZlq-WSKUGluLwwYKFGzWT4EpDRhqRmZf-xA0RR48IBO5ch8X7P29PqOnTLtkJiAEtXZJ_9xGXcYXXOm_H7Fn8DM=,gAAAAABn1x_ljd5S02XqBFMmIrbB9l3AP5H49DYdhocaWgd2Chw1-w0rLiA0wbRqthRyG_0T5ypXZ9CMPY10yihwp5kNP48XNQ==,32
Lenovo,3.01678761595714,4,256,15.588314848857674,2.9411195361561955,9214.484505999935,981559f507d2055d3f2ff381b07fab0a3af19f070280bb2faa716381c4b55c39,gAAAAABn1x_l7mQ4NUUbsMM_M_nqqPpUfxOznPg-2MoVdiufT5utA8zj-hqLYu8IOB9aySaH_l5nGeOFN1reAlCfXZiDpIl3yePIbce8GRTkkSwJyiRzP9I=,gAAAAABn1x_lLK6y4HDv4hUjnBZ_VwxxHj5bG9O6PLo2tHdy4vxonqfVDvueO-yOPH5ynhFROZ94qXBLSZ0zLuqTJPALcWDWNw==,4
Lenovo,2.560326678255965,4,512,15.026331703159489,2.743620076185271,16372.175283874409,9d1993a7420329974c5b60f45bcc22a92da4598d58acb160db849eda7abb194c,gAAAAABn1x_l4fIO1yTEvOGRNaCNHcD0jthMN11DmSCjCobLQBQpOOZOnW98oOWOswUx2OOG3YfiwokNCtVwRJli7vZLVOs1uX_-wBWDshHGkzpJeM5St3Q=,gAAAAABn1x_l1RyB-gagZtlHTpj-dor4ycZBeJtDhZGwycQ-JPsZpKDMWmmx0yq9pHSXn-8Mq2fDlFkhHrjfEV3VOboXeAsF3g==,4
Acer,3.341110589061807,32,512,13.611945328731418,4.093148922659879,18501.83273321414,1ab75c9a76df5af1a9800bc1c2394bff5334234916f1049bd6f4ad86830d3d51,gAAAAABn1x_lNKWj1nOBTQ2l4gPG7ImPv3Tl1TcOTNVrGEoONLPFrxzV_k90jskfUTuNqIjZcdCTXrHJaWrVABHAyKsFKUJv7AD8wPL1ir2h-aEfJMCCtO8=,gAAAAABn1x_lX2rqK2pO-w72KzcTY-0kk6B2mu8QWoPjIFt27BL1i4Ml0vpsrjjKSW92SQek8p4fGpe4Pw8BDx7hrlLUZpDcxw==,32
